Customer Account # / Cliente,Average of Kg Surtigo
11540005,49.20
11540573,3.04
11540934,18.30
11541889,12.00
11542154,12.00
11542859,3.98
11542903,38.92
11542971,7.00
11543081,52.50
11543352,2.47
11543355,1.65
11543425,2.72
11543483,2.88
11543484,2.00
11543579,12.26
11543933,3.80
11543934,3.82
11544510,2.01
11544673,17.04
11545473,2.45
11545531,12.02
11545813,1.81
11545914,3.72
11545922,2.62
11545923,38.72
11545935,3.63
11545937,5.36
11546274,3.36
11546439,13.30
11546779,2.15
11547279,7.05
11547282,4.17
11547388,3.75
11547469,21.60
11547733,5.94
11547745,1.82
11548816,2.34
11548953,1.67
11549043,1.79
11549707,1.95
11549851,6.85
11550112,1.19
11550164,3.73
11550216,12.34
11550340,8.17
11550962,1.30
11552132,1.87
11552503,2.23
11552504,6.96
11552507,3.81
11552508,1.69
11553491,2.28
11553669,13.42
11554057,2.39
11554181,2.13
11554554,2.90
11554557,16.37
11554570,2.01
11554571,3.88
11554626,1.27
11554697,1.58
11554757,6.51
11554764,3.61
11554767,1.55
11554926,2.46
11555146,7.67
11555416,2.57
11555470,2.12
11555476,12.75
11555486,2.71
11556220,5.71
11556372,2.80
11556377,19.30
11556439,2.51
11556444,24.46
11556564,2.75
11556636,3.10
11556638,1.85
11556784,5.80
11556837,5.56
11557104,7.29
11557558,17.59
11557934,12.92
11558043,2.30
11558049,8.02
11558365,2.39
11558559,5.47
11558997,12.36
11559329,2.08
11561199,2.10
11561280,5.02
11561419,3.75
11561522,1.41
11561523,26.41
11561953,25.77
11561954,3.02
11562004,6.07
11562020,4.23
11562191,3.44
11562500,15.93
11562501,5.17
11562502,1.75
11562697,1.40
11562699,2.58
11562702,2.45
11562964,1.16
11563063,2.56
11563166,10.45
11563576,3.29
11563728,2.34
11564122,14.49
11564413,7.63
11564486,2.61
11564641,13.16
11565177,8.36
11565270,2.87
11565364,24.96
11565843,8.62
11565988,2.38
11565993,2.57
11566135,21.41
11567175,1.88
11567268,11.96
11567339,2.72
11567653,2.27
11568004,3.76
11568151,2.01
11568336,3.88
11568339,2.03
11568463,6.20
11568822,2.19
11568823,15.20
11568824,18.39
11568826,8.62
11569819,6.50
11570459,7.48
11570585,23.59
11571725,2.20
11571728,64.19
11572663,5.48
11572967,9.75
11573186,4.78
11573446,17.02
11573595,4.57
11574913,4.63
11574931,4.58
11575785,5.65
11578210,2.26
11578214,1.52
11578857,5.69
11579282,4.71
11579463,1.79
11579702,5.73
11579859,9.09
11580051,18.37
11580053,6.20
11580542,2.51
11581301,1.64
11581303,10.31
11581322,2.75
11581404,1.49
11582861,1.64
11582865,5.37
11583070,9.80
11583286,2.05
11583491,2.69
11583555,14.35
11593167,12.68
11594457,2.67
11594685,14.63
11595028,2.79
11595261,1.98
11595396,3.13
11595397,2.42
11596182,2.50
11596552,1.44
11596659,8.91
11596660,5.28
11596663,3.55
11596706,12.81
11596771,4.83
11596776,5.26
11596781,5.52
11596799,11.70
11596836,2.23
11596859,2.25
11596886,3.35
11596924,3.85
11596934,21.19
11596948,0.64
11596987,6.78
11597054,7.55
11597108,2.44
11597129,3.22
11597143,1.55
